property_type,city,baths,area,bedrooms,price
3,0,2,4,2,10000000
3,0,3,5.6,3,6900000
2,0,6,8,5,16500000
2,0,3,8,3,7000000
3,0,2,6.2,2,7800000
3,0,3,7.1,3,35000000
3,0,2,7.8,2,48000000
3,0,5,10,3,13500000
3,0,1,3.1,1,3600000
3,0,2,4,2,5000000
2,0,3,10,3,19000000
3,0,0,1.5,0,1750000
2,0,7,14,6,55000000
2,0,3,5,3,4500000
3,0,2,8.4,3,47000000
2,0,4,4.7,4,4500000
2,0,4,4,4,6800000
2,0,5,12,6,20000000
3,0,1,4.3,1,19400000
2,0,5,17.8,5,100000000
3,0,2,6.7,2,8000000
3,0,3,5.3,3,6300000
2,0,3,5,2,4500000
2,0,5,8,6,12500000
2,4,0,9,3,9500000
2,4,5,11,6,21000000
2,4,7,8,6,16500000
2,4,4,7.5,4,13500000
2,4,0,10,4,16500000
2,4,0,10,0,18500000
2,4,4,10,4,23500000
2,4,7,18,6,50000000
2,4,6,10,6,39500000
2,4,5,12,4,27500000
2,4,3,11,6,40000000
2,4,2,3,3,3200000
2,4,4,10,3,21200000
2,4,5,10,4,23000000
2,4,5,10,4,21500000
2,4,5,10,4,21500000
2,4,5,10,4,26000000
2,4,4,10,4,21000000
2,4,5,10,4,23000000
2,4,6,10,5,23000000
2,4,3,2.5,3,5500000
2,4,6,8,6,12000000
2,4,5,6,5,12000000
2,4,6,9.7,5,17000000
2,4,5,10,5,17000000
2,4,5,18,4,25000000
2,3,5,5,4,8500000
2,3,2,2.5,4,6000000
2,1,4,7,5,13500000
2,1,6,10,6,23000000
2,1,2,10,3,9990000
2,1,5,12,5,22500000
2,1,4,5,3,9000000
2,1,0,7,0,12800000
2,1,6,12,5,23000000
2,1,7,10,5,21000000
3,1,1,3.8,1,4800000
5,1,4,10,4,25000000
3,1,2,5.5,2,7500000
2,1,4,7,4,12800000
2,1,5,5,6,5000000
2,1,6,10,5,22000000
2,1,4,10,4,18000000
2,1,5,10,4,25000000
2,1,6,10,4,30000000
2,1,5,10,4,23000000
2,1,6,10,5,25000000
2,1,2,5,2,6000000
2,1,0,10,4,23800000
2,1,5,10,5,28000000
2,1,3,5,2,5300000
2,1,6,10,6,19900000
2,1,4,5,3,15000000
2,1,5,10,4,18000000
2,1,5,10,4,24500000
2,1,4,10,4,27000000
2,1,3,5,3,18000000
2,2,8,16,6,35000000
3,2,3,8.9,3,21000000
2,2,1,3.2,2,6500000
2,2,4,9.6,4,13000000
2,2,4,4,4,32000000
2,2,3,3.2,7,4000000
3,2,4,9.8,4,16500000
2,2,6,9.6,5,12800000
3,2,3,10.2,3,30000000
3,2,4,11.4,3,34000000
3,2,0,11.4,3,29500000
3,2,0,11.4,3,30000000
3,2,0,13.1,4,37500000
3,2,0,8.9,3,45000000
2,2,5,4.8,4,17000000
3,2,3,7.6,3,12500000
3,2,0,5.4,2,5000000
3,2,2,3.2,2,4100000
2,2,8,13.4,11,40000000
3,2,3,11.4,3,28000000
3,2,3,11.4,3,32500000
3,2,4,13.2,4,40000000
2,2,5,14,5,59500000
2,2,4,14,4,55000000
2,2,6,14,5,59500000
2,2,5,14,4,58500000
2,2,5,14,4,58500000
2,2,5,14,4,58000000
2,2,5,14,4,59500000
2,2,4,9.6,4,19000000
3,2,2,5.2,2,7550000
3,2,1,1.3,2,4500000
3,2,3,6.1,4,6900000
3,2,2,4.8,2,4500000
2,2,3,4.8,2,20000000
2,2,4,9.7,4,60000000
3,2,4,9.7,3,45000000
3,2,3,9.1,2,35000000
3,2,1,6,1,25000000
3,0,0,2.2,0,2500000
3,0,4,12,4,15500000
2,0,9,10.9,9,46500000
3,0,2,3.7,2,3200000
2,0,6,7,4,14000000
3,0,2,4.2,2,3965000
2,0,9,12,7,32500000
3,0,2,5.8,2,7800000
2,0,7,10,6,30000000
2,0,6,10,5,21000000
3,0,2,6.1,2,8000000
2,4,6,10,5,17600000
2,4,6,10,5,17500000
2,4,5,17,4,35000000
2,4,5,10,4,22000000
2,4,6,10,5,23500000
2,4,5,10,4,23000000
2,4,5,10,4,23000000
2,4,4,10,3,20500000
2,4,4,10,3,21000000
2,4,7,10,5,19200000
2,4,4,4,3,7700000
2,4,5,10,4,21500000
2,4,4,5,3,11800000
2,4,5,14,4,26500000
2,4,3,5.5,2,12500000
2,4,5,17,4,36000000
2,4,7,10,5,20000000
2,4,2,2,3,6000000
2,4,2,2,3,5500000
2,4,6,10,5,17500000
2,4,8,12,5,35000000
2,4,5,10,5,22500000
2,4,5,10,4,22500000
2,4,4,10,4,23500000
2,4,5,8.2,5,15500000
2,4,5,17,4,37000000
2,4,4,12,4,28000000
2,4,5,10,4,23500000
2,4,6,10,5,22000000
2,4,5,10,4,22000000
2,4,5,10,4,21500000
2,4,5,10,4,22500000
3,4,2,3,2,3200000
2,3,3,5,4,8500000
3,1,4,10,3,10500000
2,1,4,10,5,25000000
2,1,6,11.7,6,45000000
3,1,0,10,3,16000000
3,1,4,10,3,11500000
3,1,0,10,3,11500000
3,1,4,10,3,9800000
3,1,4,10,3,9800000
3,1,1,1.5,1,3000000
2,1,6,10,5,21000000
2,1,4,10,3,22500000
2,1,4,11,3,25000000
2,1,6,10,5,22500000
3,1,3,10.7,3,10000000
2,1,6,10,5,22500000
3,2,1,5.5,1,30500000
2,2,9,9.6,9,100000000
2,2,6,14,6,105000000
3,2,0,8,3,25000000
2,2,3,13.4,5,55000000
3,2,2,4.2,0,6000000
3,2,0,4.2,2,6200000
2,2,3,8,3,20000000
2,2,5,14,5,14500000
3,2,3,8,3,22500000
2,2,4,10.6,4,45000000
2,2,3,8,3,21000000
3,2,3,8,3,8500000
3,2,3,8,3,25000000
3,2,2,5.2,2,3760000
